[2025-12-01 15:43:19.775096] [tm_devices] [   DEBUG] timezone==Europe/Paris
[2025-12-01 15:43:19.775096] [tm_devices] [   DEBUG] tm_devices==3.4.0
[2025-12-01 15:43:19.775096] [tm_devices] [    INFO] Opening DeviceManager
[2025-12-01 15:43:19.775096] [tm_devices] [    INFO] Creating Connection to SCOPE 1 "SCOPE1"
[2025-12-01 15:43:19.854845] [tm_devices] [   DEBUG] SCOPE "SCOPE1" VISA timeout set to: 5000.000ms
[2025-12-01 15:43:19.854845] [tm_devices] [   DEBUG] (SCOPE "SCOPE1") Write >>  'HEADER OFF'
[2025-12-01 15:43:19.854845] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*IDN?'
[2025-12-01 15:43:19.854845] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,MSO58,C017019,CF:91.1CT FV:1.22.4.7207'
[2025-12-01 15:43:19.854845] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGger:A:TYPe EDGE'
[2025-12-01 15:43:19.854845] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGGER:A:LEVEL 0.5'
[2025-12-01 15:43:19.864815] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGGER:A:EDGE:SOURCE CH1'
[2025-12-01 15:43:19.866102] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*IDN?'
[2025-12-01 15:43:19.867049] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,MSO58,C017019,CF:91.1CT FV:1.22.4.7207'
[2025-12-01 15:43:19.867049] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CHCH1:SCAle 1'
[2025-12-01 15:43:19.867049] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CHCH1:POSition 1'
[2025-12-01 15:43:19.867049] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQuire:MODe SAMPLE'
[2025-12-01 15:43:19.867049] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQuire:STOPAfter SEQUENCE'
[2025-12-01 15:43:19.867049] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'HOR:MODE MANUAL'
