[2025-12-01 14:51:24.321365] [tm_devices] [   DEBUG] timezone==Europe/Paris
[2025-12-01 14:51:24.323391] [tm_devices] [   DEBUG] tm_devices==3.4.0
[2025-12-01 14:51:24.323391] [tm_devices] [    INFO] Opening DeviceManager
[2025-12-01 14:51:24.324391] [tm_devices] [    INFO] Creating Connection to SCOPE 1 "SCOPE1"
[2025-12-01 14:51:24.400297] [tm_devices] [   DEBUG] SCOPE "SCOPE1" VISA timeout set to: 5000.000ms
[2025-12-01 14:51:24.400297] [tm_devices] [   DEBUG] (SCOPE "SCOPE1") Write >>  'HEADER OFF'
[2025-12-01 14:51:24.400297] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*IDN?'
[2025-12-01 14:51:24.400297] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,MSO58,C017019,CF:91.1CT FV:1.22.4.7207'
[2025-12-01 14:51:24.410347] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGger:A:TYPe EDGE'
[2025-12-01 14:51:24.410347] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGGER:A:LEVEL 0.5'
[2025-12-01 14:51:24.410347] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'TRIGGER:A:EDGE:SOURCE CH1'
[2025-12-01 14:51:24.413658] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  '*IDN?'
[2025-12-01 14:51:24.414678] [tm_devices] [    INFO] Response from '*IDN?' >>  'TEKTRONIX,MSO58,C017019,CF:91.1CT FV:1.22.4.7207'
[2025-12-01 14:51:24.415678] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CHCH1:SCAle 1'
[2025-12-01 14:51:24.415678] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CHCH1:POSition 1'
[2025-12-01 14:51:24.416622] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQuire:MODe SAMPLE'
[2025-12-01 14:51:24.416622] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQuire:STOPAfter SEQUENCE'
[2025-12-01 14:51:24.416622] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'HOR:MODE MANUAL'
[2025-12-01 14:51:24.416622] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'HOR:MAIN:SCALE 0.01'
[2025-12-01 14:51:24.416622] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQuire:STATE RUN'
[2025-12-01 14:51:24.416622] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQuire:STATE?'
[2025-12-01 14:51:24.441553] [tm_devices] [    INFO] Response from 'ACQuire:STATE?' >>  '1'
